000009,2020-12-15,0.6707,2.5140%,开放申购
000009,2020-12-14,0.6875,2.5070%,开放申购
000009,2020-12-13,0.6751,2.4910%,开放申购
000009,2020-12-12,0.6751,2.4850%,开放申购
000009,2020-12-11,0.6746,2.4800%,开放申购
000009,2020-12-10,0.6943,2.4700%,开放申购
000009,2020-12-09,0.6839,2.4480%,开放申购
000009,2020-12-08,0.6591,2.4200%,开放申购
000009,2020-12-07,0.6560,2.4390%,开放申购
000009,2020-12-06,0.6654,2.3780%,开放申购
000009,2020-12-05,0.6654,2.3820%,开放申购
000009,2020-12-04,0.6563,2.3860%,开放申购
000009,2020-12-03,0.6529,2.3360%,开放申购
000009,2020-12-02,0.6315,2.2910%,开放申购
000009,2020-12-01,0.6944,2.2510%,开放申购
000009,2020-11-30,0.5414,2.1980%,开放申购
000009,2020-11-29,0.6730,2.2260%,开放申购
000009,2020-11-28,0.6731,2.1980%,开放申购
000009,2020-11-27,0.5631,2.1690%,开放申购
000009,2020-11-26,0.5670,2.1710%,开放申购
000009,2020-11-25,0.5564,2.1700%,开放申购
000009,2020-11-24,0.5962,2.1750%,开放申购
000009,2020-11-23,0.5939,2.1420%,开放申购
000009,2020-11-22,0.6195,2.1580%,开放申购
000009,2020-11-21,0.6195,2.1510%,开放申购
000009,2020-11-20,0.5667,2.1440%,开放申购
000009,2020-11-19,0.5659,2.1430%,开放申购
000009,2020-11-18,0.5656,2.1640%,开放申购
000009,2020-11-17,0.5340,2.1740%,开放申购
000009,2020-11-16,0.6244,2.2000%,开放申购
000009,2020-11-15,0.6055,2.1760%,开放申购
000009,2020-11-14,0.6055,2.1670%,开放申购
000009,2020-11-13,0.5655,2.1580%,开放申购
000009,2020-11-12,0.6059,2.1600%,开放申购
000009,2020-11-11,0.5848,2.1390%,开放申购
000009,2020-11-10,0.5812,2.1220%,开放申购
000009,2020-11-09,0.5802,2.1260%,开放申购
000009,2020-11-08,0.5883,2.0510%,开放申购
000009,2020-11-07,0.5883,2.0810%,开放申购
000009,2020-11-06,0.5707,2.1110%,开放申购
000009,2020-11-05,0.5662,2.1210%,开放申购
000009,2020-11-04,0.5531,2.1040%,开放申购
000009,2020-11-03,0.5874,2.1350%,开放申购
000009,2020-11-02,0.4396,2.1290%,开放申购
000009,2020-11-01,0.6451,2.2010%,开放申购
000009,2020-10-31,0.6451,2.1630%,开放申购
000009,2020-10-30,0.5893,2.1250%,开放申购
000009,2020-10-29,0.5337,2.1200%,开放申购
000009,2020-10-28,0.6108,2.1300%,开放申购
000009,2020-10-27,0.5775,2.1100%,开放申购
000009,2020-10-26,0.5748,2.1000%,开放申购
000009,2020-10-25,0.5735,2.0800%,开放申购
000009,2020-10-24,0.5735,2.0670%,开放申购
000009,2020-10-23,0.5794,2.0540%,开放申购
000009,2020-10-22,0.5523,2.0030%,开放申购
000009,2020-10-21,0.5742,1.9420%,开放申购
000009,2020-10-20,0.5573,1.9590%,开放申购
000009,2020-10-19,0.5389,1.9520%,开放申购
000009,2020-10-18,0.5484,1.9680%,开放申购
000009,2020-10-17,0.5484,2.0150%,开放申购
000009,2020-10-16,0.4835,2.0620%,开放申购
000009,2020-10-15,0.4384,2.1580%,开放申购
000009,2020-10-14,0.6067,2.2620%,开放申购
000009,2020-10-13,0.5438,2.2780%,开放申购
000009,2020-10-12,0.5693,2.3260%,开放申购
000009,2020-10-11,0.6368,2.3620%,开放申购
000009,2020-10-10,0.6368,2.3610%,开放申购
000009,2020-10-09,0.6621,2.3600%,开放申购
000009,2020-10-08,0.6352,2.3460%,开放申购
000009,2020-10-07,0.6352,2.3460%,开放申购
000009,2020-10-06,0.6352,2.3460%,开放申购
000009,2020-10-05,0.6352,2.3790%,开放申购
000009,2020-10-04,0.6353,2.3600%,开放申购
000009,2020-10-03,0.6353,2.3230%,开放申购
000009,2020-10-02,0.6353,2.2870%,开放申购
000009,2020-10-01,0.6353,2.3340%,开放申购
000009,2020-09-30,0.6356,2.2950%,开放申购
000009,2020-09-29,0.6970,2.2250%,开放申购
000009,2020-09-28,0.5990,2.1500%,开放申购
000009,2020-09-27,0.5673,2.1240%,开放申购
000009,2020-09-26,0.5674,2.1130%,开放申购
000009,2020-09-25,0.7231,2.1020%,开放申购
000009,2020-09-24,0.5632,2.0080%,开放申购
000009,2020-09-23,0.5044,2.0050%,开放申购
000009,2020-09-22,0.5559,2.0410%,开放申购
000009,2020-09-21,0.5489,2.0360%,开放申购
000009,2020-09-20,0.5471,2.0240%,开放申购
000009,2020-09-19,0.5471,1.9930%,开放申购
000009,2020-09-18,0.5461,1.9610%,开放申购
000009,2020-09-17,0.5581,1.9270%,开放申购
000009,2020-09-16,0.5725,1.8860%,开放申购
000009,2020-09-15,0.5450,1.8370%,开放申购
000009,2020-09-14,0.5279,1.8040%,开放申购
000009,2020-09-13,0.4878,1.7810%,开放申购
000009,2020-09-12,0.4878,1.7780%,开放申购
000009,2020-09-11,0.4806,1.7770%,开放申购
000009,2020-09-10,0.4810,1.7840%,开放申购
000009,2020-09-09,0.4809,1.7850%,开放申购
000009,2020-09-08,0.4839,1.7910%,开放申购
000009,2020-09-07,0.4845,1.7850%,开放申购
000009,2020-09-06,0.4807,1.7930%,开放申购
000009,2020-09-05,0.4873,1.8110%,开放申购
000009,2020-09-04,0.4935,1.8260%,开放申购
000009,2020-09-03,0.4827,1.8200%,开放申购
000009,2020-09-02,0.4916,1.8340%,开放申购
000009,2020-09-01,0.4732,1.8280%,开放申购
000009,2020-08-31,0.4991,1.8260%,开放申购
